year,px,py,tachid,ekid
1999,139.3543523,35.72836625,7.408247787,1.388167129
2000,139.3543523,35.72836625,7.408247787,1.388167129
2001,139.3543523,35.72836625,7.408247787,1.388167129
2002,139.3543523,35.72836625,7.408247787,1.388167129
2003,139.3543523,35.72836625,7.408247787,1.388167129
2004,139.3543523,35.72836625,7.408247787,1.388167129
2005,139.3543523,35.72836625,7.408247787,1.388167129
2006,139.3543523,35.72836625,7.408247787,1.388167129
2007,139.3543523,35.72836625,7.408247787,1.388167129
2008,139.3543523,35.72836625,7.408247787,1.388167129
1999,139.3543523,35.73229223,7.616962124,1.678961904
2000,139.3543523,35.73229223,7.616962124,1.678961904
2001,139.3543523,35.73229223,7.616962124,1.678961904
2002,139.3543523,35.73229223,7.616962124,1.678961904
2003,139.3543523,35.73229223,7.616962124,1.678961904
2004,139.3543523,35.73229223,7.616962124,1.678961904
2005,139.3543523,35.73229223,7.616962124,1.678961904
2006,139.3543523,35.73229223,7.616962124,1.678961904
2007,139.3543523,35.73229223,7.616962124,1.678961904
2008,139.3543523,35.73229223,7.616962124,1.678961904
1999,139.3543523,35.7362182,7.844354849,2.022531197
2000,139.3543523,35.7362182,7.844354849,2.022531197
2001,139.3543523,35.7362182,7.844354849,2.022531197
2002,139.3543523,35.7362182,7.844354849,2.022531197
2003,139.3543523,35.7362182,7.844354849,2.022531197
2004,139.3543523,35.7362182,7.844354849,2.022531197
2005,139.3543523,35.7362182,7.844354849,2.022531197
2006,139.3543523,35.7362182,7.844354849,2.022531197
2007,139.3543523,35.7362182,7.844354849,2.022531197
2008,139.3543523,35.7362182,7.844354849,2.022531197
1999,139.3584049,35.72836625,7.010969039,1.272122177
2000,139.3584049,35.72836625,7.010969039,1.272122177
2001,139.3584049,35.72836625,7.010969039,1.272122177
2002,139.3584049,35.72836625,7.010969039,1.272122177
2003,139.3584049,35.72836625,7.010969039,1.272122177
2004,139.3584049,35.72836625,7.010969039,1.272122177
2005,139.3584049,35.72836625,7.010969039,1.272122177
2006,139.3584049,35.72836625,7.010969039,1.272122177
2007,139.3584049,35.72836625,7.010969039,1.272122177
2008,139.3584049,35.72836625,7.010969039,1.272122177
1999,139.3584049,35.73229223,7.231159214,1.421164428
2000,139.3584049,35.73229223,7.231159214,1.421164428
2001,139.3584049,35.73229223,7.231159214,1.421164428
2002,139.3584049,35.73229223,7.231159214,1.421164428
2003,139.3584049,35.73229223,7.231159214,1.421164428
2004,139.3584049,35.73229223,7.231159214,1.421164428
2005,139.3584049,35.73229223,7.231159214,1.421164428
2006,139.3584049,35.73229223,7.231159214,1.421164428
2007,139.3584049,35.73229223,7.231159214,1.421164428
2008,139.3584049,35.73229223,7.231159214,1.421164428
1999,139.3584049,35.7362182,7.470304852,1.673599742
2000,139.3584049,35.7362182,7.470304852,1.673599742
2001,139.3584049,35.7362182,7.470304852,1.673599742
2002,139.3584049,35.7362182,7.470304852,1.673599742
2003,139.3584049,35.7362182,7.470304852,1.673599742
2004,139.3584049,35.7362182,7.470304852,1.673599742
2005,139.3584049,35.7362182,7.470304852,1.673599742
2006,139.3584049,35.7362182,7.470304852,1.673599742
2007,139.3584049,35.7362182,7.470304852,1.673599742
2008,139.3584049,35.7362182,7.470304852,1.673599742
1999,139.3624575,35.64984673,7.802013197,0.871559428
2000,139.3624575,35.64984673,7.802013197,0.871559428
2001,139.3624575,35.64984673,7.802013197,0.871559428
2002,139.3624575,35.64984673,7.802013197,0.871559428
2003,139.3624575,35.64984673,7.802013197,0.871559428
2004,139.3624575,35.64984673,7.802013197,0.871559428
2005,139.3624575,35.64984673,7.802013197,0.871559428
2006,139.3624575,35.64984673,7.802013197,0.871559428
2007,139.3624575,35.64984673,7.802013197,0.871559428
2008,139.3624575,35.64984673,7.802013197,0.871559428
1999,139.3624575,35.6537727,7.510732406,1.277961525
2000,139.3624575,35.6537727,7.510732406,1.277961525
2001,139.3624575,35.6537727,7.510732406,1.277961525
2002,139.3624575,35.6537727,7.510732406,1.277961525
2003,139.3624575,35.6537727,7.510732406,1.277961525
2004,139.3624575,35.6537727,7.510732406,1.277961525
2005,139.3624575,35.6537727,7.510732406,1.277961525
2006,139.3624575,35.6537727,7.510732406,1.277961525
2007,139.3624575,35.6537727,7.510732406,1.277961525
2008,139.3624575,35.6537727,7.510732406,1.277961525
1999,139.3624575,35.65769868,7.233989694,1.289223424
2000,139.3624575,35.65769868,7.233989694,1.289223424
2001,139.3624575,35.65769868,7.233989694,1.289223424
2002,139.3624575,35.65769868,7.233989694,1.289223424
2003,139.3624575,35.65769868,7.233989694,1.289223424
2004,139.3624575,35.65769868,7.233989694,1.289223424
2005,139.3624575,35.65769868,7.233989694,1.289223424
2006,139.3624575,35.65769868,7.233989694,1.289223424
